mean;lower95;upper95;year;Nspecies;e;d;f;i
75,99;74,02;77,97;2013;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
78,11;75,73;80,62;2014;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
75,65;73,09;78,06;2015;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
79,08;76,61;81,16;2016;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
80,34;77,83;82,28;2017;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
76,13;73,66;78,91;2018;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
81,88;79,64;84,46;2019;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
94,87;92,99;97,44;2020;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
97,22;94,12;99,91;2021;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
94,49;91,59;100,36;2022;44;Red List (2021);Rote Liste (2021);Liste rouge (2021);Lista Rossa (2021)
100;96,85;103,05;1990;46;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
92,2;88,03;95,89;1991;46;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
95,63;92,46;99,15;1992;46;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
98,84;94,79;103,16;1993;46;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
94,32;90,73;97,54;1994;46;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
92,74;89,3;96,69;1995;48;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
90,08;86,96;93,26;1996;49;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
82,81;78,15;86,38;1997;49;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
80;77,16;82,25;1998;49;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
79,15;76,85;81,4;1999;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
81;78,25;83,5;2000;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
75,55;73,76;77,35;2001;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
72,56;70,17;74,7;2002;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
73,36;71,16;75,24;2003;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
76,19;74,29;77,75;2004;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
76,01;74,37;77,96;2005;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
78,67;76,93;80,6;2006;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
77,88;75,97;79,86;2007;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
76,63;75,19;78,35;2008;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
73,41;71,73;75,15;2009;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
76,26;74,59;77,57;2010;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
81,18;79,83;82,86;2011;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
84,13;82,69;86,31;2012;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
81,27;79,59;82,94;2013;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
84,73;83,33;87,15;2014;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
85,7;83,94;87,49;2015;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
88,53;86,38;90,73;2016;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
88,29;86,66;90,46;2017;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
88,63;86,94;90,73;2018;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
92,75;90,6;94,78;2019;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
104,44;102,14;106,66;2020;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
106,33;104,1;108,62;2021;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
104,61;101,76;109;2022;50;Priority species for conservation;Prioritaetsarten Artenfoerderung;Espèces prioritaires pour une conservation ciblée;Specie prioritarie per una conservazione mirata
100;96,07;104,25;1990;32;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
96,47;92,69;100,82;1991;32;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
97,51;93,53;101,17;1992;32;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
104,75;100,61;109,73;1993;32;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
103,76;99,43;107,98;1994;32;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
104,62;100,84;108,76;1995;33;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
99,8;95,91;103,47;1996;33;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
97,23;92,33;101,54;1997;33;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
93,48;91,04;95,63;1998;33;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
89,53;86,45;91,84;1999;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
95,03;92,65;96,96;2000;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
91,02;88,88;92,9;2001;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
92,56;90,38;94,65;2002;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
96,12;93,82;98,38;2003;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
99,8;97,56;101,82;2004;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
105,51;103,39;107,66;2005;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
101,61;98,92;103,64;2006;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
104,7;101,64;107,65;2007;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
107,24;104,53;109,29;2008;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
101,54;99,31;103,88;2009;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
103,63;102,14;106,07;2010;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
104,91;103,1;107,08;2011;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
108,72;106,44;110,85;2012;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
102,23;100,14;104,16;2013;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
109,54;107,6;111,69;2014;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
115;112,62;118,19;2015;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
114,61;112,23;117,73;2016;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
117,68;115,37;119,65;2017;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
109,47;107,18;112,27;2018;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
118,77;115,17;121,54;2019;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
121,95;119,38;124,93;2020;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
117,24;114;121,03;2021;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
116,74;113,37;119,24;2022;37;International responsibility;Internationale Verantwortung;Responsabilité internationale;Resonsabilità internazionale
